"title","genre_count"
"The Triplets of Belleville","3"
"Assassins","3"
"Bound by Honor","3"
"Shoot to Kill","3"
"The Lion King 2: Simba's Pride","3"
"Jack Frost","3"
"Cellular","3"
"Dersu Uzala","3"
"The Incredibles","4"
"Thursday","3"
"Save the Last Dance","3"
"Mighty Joe Young","4"
"Mystery Men","3"
"The Prince of Egypt","5"
"Patriot Games","3"
"Explorers","3"
"The Siege","3"
"Johnny Mnemonic","3"
"Asterix and Cleopatra","3"
"Vampires","3"
"Uncommon Valor","3"
"Lock Up","4"
"Antitrust","3"
"Turn It Up","3"
"Brother Bear","3"
"Beauty and the Beast","4"
"The Pacifier","3"
"The Messenger: The Story of Joan of Arc","3"
"Spy Kids","3"
"The Principal","4"
"Saints and Soldiers","3"
"The Aristocats","3"
"Action Jackson","4"
"Colors","3"
"Stuart Little","3"
"The Last Unicorn","3"
"Son of the Mask","3"
"The Rocketeer","3"
"Clash of the Titans","3"
"Forever Young","3"
"Congo","3"
"Spawn","3"
"Shiri","3"
"An American Tail: Fievel Goes West","3"
"The Iron Giant","4"
"The Limey","3"
"Tequila Sunrise","3"
"Nowhere to Run","3"
"Hackers","3"
"The Muppet Christmas Carol","3"
"Get Carter","3"
"Rules of Engagement","3"
"The Road to El Dorado","3"
"Miracle on 34th Street","3"
"Castle in the Sky","5"
"Pocahontas","4"
"James and the Giant Peach","3"
"Ned Kelly","3"
"The Hunchback of Notre Dame","3"
"Family Business","3"
"Shark Tale","3"
"After the Sunset","3"
"Peter Pan","3"
"Cradle 2 the Grave","3"
"The Hunted","3"
"Suicide Kings","3"
"Mulan","3"
"D3: The Mighty Ducks","3"
"Peter Pan","5"
"French Connection II","3"
"The Jungle Book","3"
"Infernal Affairs","3"
"Basic","3"
"Lucky Numbers","3"
"Robin and Marian","3"
"Staying Alive","3"
"The Killer","3"
"Atlantis: The Lost Empire","3"
"Muppet Treasure Island","4"
"Sleeping Beauty","3"
"Gloria","3"
"The Guns of Navarone","3"
"Babylon 5: A Call to Arms","3"
"Babylon 5: The River of Souls","3"
"Babylon 5: In the Beginning","3"
"Babylon 5: Thirdspace","3"
"The Fox and the Hound","4"
"Oliver Twist","3"
"Armour of God II: Operation Condor","3"
"Pok�mon: Spell of the Unknown","5"
"Stuart Little 2","3"
"Greystoke: The Legend of Tarzan, Lord of the Apes","3"
"Year of the Dragon","3"
"Narc","3"
"The Big Easy","3"
"Where Eagles Dare","3"
"Asterix the Gaul","3"
"Yu-Gi-Oh! The Movie","5"
"Fly Away Home","4"
"Heist","3"
"My Fair Lady","3"
"Pete's Dragon","3"
"The Rescuers Down Under","5"
"D2: The Mighty Ducks","3"
"Tora! Tora! Tora!","3"
"Spartan","3"
"Touching the Void","3"
"The Alamo","3"
"Robinson Crusoe","3"
"Baby's Day Out","3"
"Cinderella","3"
"The Secret Garden","3"
"Aladdin and the King of Thieves","3"
"The Care Bears Movie","4"
"The Meteor Man","3"
"Dead or Alive","3"
"The Rescuers","4"
"Popeye","4"
"Walking Tall","3"
"The Indian in the Cupboard","3"
"The Count of Monte Cristo","3"
"The Musketeer","3"
"The Eagle Has Landed","3"
"Lord Jim","3"
"The Santa Clause","3"
"The Art of War","3"
"The Mission","3"
"Dead Presidents","3"
"A Better Tomorrow","3"
"The Warriors","4"
"Little Indian, Big City","3"
"Firestarter","3"
"All Dogs Go to Heaven","4"
"Silverado","3"
"Thief","3"
"The Emerald Forest","3"
"Jason and the Argonauts","3"
"Small Soldiers","3"
"Class of 1984","3"
"Blues Brothers 2000","3"
"Journey to the Center of the Earth","3"
"It's a Mad, Mad, Mad, Mad World","3"
"The First Great Train Robbery","3"
"Another 48 Hrs.","3"
"Infernal Affairs II","3"
"Masters of the Universe","3"
"Tae Guk Gi: The Brotherhood of War","3"
"The Emperor's New Groove","4"
"The Replacement Killers","3"
"The Secret of NIMH","4"
"Chitty Chitty Bang Bang","4"
"Watership Down","3"
"The Court Jester","3"
"Dungeons & Dragons","3"
"The Presidio","4"
"Bad Girls","3"
"Air America","3"
"Flight of the Phoenix","3"
"Young Sherlock Holmes","5"
"Sinbad and the Eye of the Tiger","4"
"Bring Me the Head of Alfredo Garcia","3"
"Iron Eagle II","3"
"Young Guns","4"
"Tombstone","3"
"Hercules","4"
"Proof of Life","3"
"Alice in Wonderland","4"
"Yellow Submarine","3"
"Herbie Goes Bananas","3"
"3000 Miles to Graceland","3"
"The Land Before Time","3"
"White Fang","4"
"One Hundred and One Dalmatians","3"
"The Thief of Bagdad","4"
"Spy Kids 3-D: Game Over","3"
"The Four Musketeers","3"
"Bedknobs and Broomsticks","5"
"Thunderheart","3"
"Southern Comfort","3"
"The Shootist","3"
"Jimmy Neutron: Boy Genius","5"
"Pok�mon: The Movie 2000","4"
"Pok�mon 4Ever: Celebi - Voice of the Forest","4"
"Osmosis Jones","4"
"Violent Cop","3"
"Guns of the Magnificent Seven","3"
"Playing God","3"
"The Star Chamber","3"
"Billy Bathgate","3"
"Iron Monkey","3"
"El Topo","3"
"Paid in Full","3"
"Return to Oz","3"
"A Christmas Carol","3"
"Deuces Wild","3"
"FernGully: The Last Rainforest","3"
"Game of Death","3"
"State Property 2","4"
"The Adventures of Ichabod and Mr. Toad","3"
"The Stand","3"
"The Doom Generation","3"
"Twisted","4"
"Labyrinth","3"
"Angels with Dirty Faces","3"
"Melody Time","3"
"Santa Claus: The Movie","3"
"Scrooge","3"
"Tuck Everlasting","3"
"Death Wish","3"
"The Sword and the Sorcerer","3"
"Return to Snowy River","4"
"Herbie Goes To Monte Carlo","3"
"Never Cry Wolf","3"
"Ninja Scroll","3"
"Fire Down Below","3"
"Infernal Affairs III","3"
"The Wild Thornberrys Movie","3"
"The Secret of Roan Inish","3"
"Captain Ron","3"
"Sinbad: Legend of the Seven Seas","3"
"The Adventures of Baron Munchausen","3"
"Black Beauty","4"
"Thunderbirds","4"
"Sharky's Machine","3"
"A Man Called Horse","3"
"Warriors of Heaven and Earth","3"
"The Long Good Friday","3"
"The Wind and the Lion","3"
"Escape to Witch Mountain","3"
"Return from Witch Mountain","3"
"Lone Wolf McQuade","3"
"The Jungle Book 2","3"
"Batman: Mask of the Phantasm","4"
"Miami Blues","3"
"Undisputed","3"
"Extreme Ops","3"
"The Three Lives of Thomasina","3"
"The Sound of Music","3"
"Little Monsters","3"
"The Pagemaster","3"
"Charlotte's Web","3"
"Jonah: A VeggieTales Movie","5"
"Pom Poko","3"
"Newsies","3"
"Born Free","3"
"The Cat Returns","5"
"The 7th Voyage of Sinbad","4"
"The Cowboys","3"
"Annie","3"
"A Goofy Movie","3"
"Batman & Mr. Freeze: SubZero","3"
"The Enemy Below","3"
"The Three Caballeros","3"
"The Return of Jafar","3"
"Vampire Hunter D: Bloodlust","4"
"Doctor Dolittle","4"
"Thomas and the Magic Railroad","3"
"Juice","3"
"The Slipper and the Rose","3"
"Heavy Metal 2000","4"
"Gone in 60 Seconds","3"
"3 Ninjas","3"
"Rugrats in Paris: The Movie","3"
"Captains Courageous","3"
"The Other Side of Heaven","4"
"Return to Never Land","4"
"Bingo","3"
"Kiki's Delivery Service","4"
"The General","3"
"Intermission","3"
"The Asphalt Jungle","3"
"The Crocodile Hunter: Collision Course","3"
"Crossroads","5"
"Homegrown","3"
"Enter the Ninja","3"
"G.I. Joe: The Movie","3"
"Death Warrant","3"
"Surviving the Game","3"
"The Public Enemy","3"
"The Gauntlet","3"
"The Adventures of Rocky & Bullwinkle","4"
"The High and the Mighty","3"
"Kull the Conqueror","3"
"A Simple Wish","3"
"The Golden Voyage of Sinbad","4"
"Branded to Kill","3"
"Oliver!","3"
"King Creole","3"
"Speedway","3"
"Sherlock Holmes and the Secret Weapon","4"
"Sahara","3"
"The Bride with White Hair","4"
"Double Take","3"
"Macross Plus: Movie Edition","3"
"Crime Story","3"
"3 Ninjas Kick Back","3"
"Flight of the Intruder","3"
"Darby O'Gill and the Little People","3"
"Faust","3"
"Stander","3"
"Quest for Camelot","4"
"Little Otik","3"
"The Adventures of Pinocchio","3"
"My Friend Flicka","4"
"The Land Before Time III: The Time of the Great Giving","3"
"Clifford's Really Big Movie","3"
"All Dogs Go to Heaven 2","4"
